F-1,F0,A0,C1,D1,G1,A1,A♯1,C2,C♯2,D2,E2,F2,F♯2,G2,G♯2,A2,A♯2,B2,C3,C♯3,D3,D♯3,E3,F3,F♯3,G3,G♯3,A3,A♯3,B3,C4,C♯4,D4,D♯4,E4,F4,F♯4,G4,G♯4,A4,A♯4,B4,C5,C♯5,D5,D♯5,E5,F5,F♯5,G5,G♯5,A5,A♯5,B5,C6,C♯6,D6,D♯6,E6,F6,F♯6,G6,G♯6,A6,A♯6,C7,D♯7
0,0,0,0,0,0,0,0,0,0,59.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.98,29.34,0,0,0,27.57,0,0,17.13,0,0,23.77,11.16,0,0,166.08,0,13.06,0,0,0,0,0,0,0,0,0,10.12,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,55.36,0,0,0,0,0,0,0,0,0,0,0,11.81,0,0,0,0,0,0,15.01,0,0,0,0,29.11,0,0,0,16.38,0,0,14.80,0,0,17.38,12.08,0,0,91.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,53.55,0,0,0,0,0,0,0,0,0,0,0,15.50,0,0,0,13.10,0,0,0,0,0,0,0,57.83,12.37,0,0,37.07,0,0,0,0,0,12.76,28.25,13.86,0,56.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,51.26,0,0,0,0,0,0,0,0,0,0,0,14.49,0,0,0,10.95,0,0,0,0,0,0,0,66.57,0,0,0,29.36,0,0,0,0,0,10.97,19.29,15.83,0,31.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,44.36,0,0,0,0,0,0,0,0,0,0,0,18.34,0,0,0,18.74,0,0,0,0,0,0,0,77.87,0,0,0,11.86,0,0,0,0,0,0,0,0,0,30.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,39.71,0,0,0,0,0,0,0,0,0,0,0,14.96,0,0,0,16.03,0,0,0,0,0,0,0,107.56,0,0,0,59.39,0,0,0,0,0,0,0,11.66,0,20.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,36.49,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,20.02,0,0,0,0,0,0,0,94.79,0,0,0,85.01,0,0,0,0,0,0,0,18.45,0,18.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,32.80,0,0,0,0,0,0,0,0,0,0,0,11.25,0,0,0,17.86,0,0,0,0,0,0,0,85.81,0,0,0,55.22,0,0,0,0,0,0,0,18.35,0,14.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,35.55,0,0,0,0,0,0,0,0,0,0,42.35,0,0,0,13.39,22.65,0,0,0,0,0,0,17.28,58.49,0,0,0,33.15,0,15.74,0,0,0,0,14.81,121.47,0,12.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,32.77,0,0,0,0,0,0,0,0,15.82,0,59.26,0,0,0,0,14.83,0,32.54,0,0,0,0,13.64,32.11,0,0,18.02,19.37,0,26.16,0,0,0,0,0,157.10,0,12.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
